,Driver,LapNumber,Position
0,LEC,1.0,2.0
1,LEC,2.0,2.0
2,LEC,3.0,2.0
3,LEC,4.0,2.0
4,LEC,5.0,2.0
5,LEC,6.0,2.0
6,LEC,7.0,2.0
7,LEC,8.0,2.0
8,LEC,9.0,2.0
9,LEC,10.0,2.0
10,LEC,11.0,2.0
11,LEC,12.0,2.0
12,LEC,13.0,2.0
13,LEC,14.0,2.0
14,LEC,15.0,3.0
15,LEC,16.0,7.0
16,LEC,17.0,6.0
17,LEC,18.0,6.0
18,LEC,19.0,6.0
19,LEC,20.0,5.0
20,LEC,21.0,5.0
21,LEC,22.0,5.0
22,LEC,23.0,3.0
23,LEC,24.0,3.0
24,LEC,25.0,3.0
25,LEC,26.0,3.0
26,LEC,27.0,3.0
27,LEC,28.0,3.0
28,LEC,29.0,3.0
29,LEC,30.0,3.0
30,LEC,31.0,3.0
31,LEC,32.0,2.0
32,LEC,33.0,2.0
33,LEC,34.0,2.0
34,LEC,35.0,2.0
35,LEC,36.0,2.0
36,LEC,37.0,2.0
37,LEC,38.0,2.0
38,LEC,39.0,1.0
39,LEC,40.0,1.0
40,LEC,41.0,1.0
41,LEC,42.0,1.0
42,LEC,43.0,1.0
43,LEC,44.0,1.0
44,LEC,45.0,1.0
45,LEC,46.0,1.0
46,LEC,47.0,1.0
47,LEC,48.0,1.0
48,LEC,49.0,1.0
49,LEC,50.0,1.0
50,LEC,51.0,1.0
51,LEC,52.0,1.0
52,LEC,53.0,1.0
53,PIA,1.0,1.0
54,PIA,2.0,1.0
55,PIA,3.0,1.0
56,PIA,4.0,1.0
57,PIA,5.0,1.0
58,PIA,6.0,1.0
59,PIA,7.0,1.0
60,PIA,8.0,1.0
61,PIA,9.0,1.0
62,PIA,10.0,1.0
63,PIA,11.0,1.0
64,PIA,12.0,1.0
65,PIA,13.0,1.0
66,PIA,14.0,1.0
67,PIA,15.0,1.0
68,PIA,16.0,1.0
69,PIA,17.0,4.0
70,PIA,18.0,4.0
71,PIA,19.0,4.0
72,PIA,20.0,3.0
73,PIA,21.0,3.0
74,PIA,22.0,3.0
75,PIA,23.0,1.0
76,PIA,24.0,1.0
77,PIA,25.0,1.0
78,PIA,26.0,1.0
79,PIA,27.0,1.0
80,PIA,28.0,1.0
81,PIA,29.0,1.0
82,PIA,30.0,1.0
83,PIA,31.0,1.0
84,PIA,32.0,1.0
85,PIA,33.0,1.0
86,PIA,34.0,1.0
87,PIA,35.0,1.0
88,PIA,36.0,1.0
89,PIA,37.0,1.0
90,PIA,38.0,1.0
91,PIA,39.0,3.0
92,PIA,40.0,3.0
93,PIA,41.0,3.0
94,PIA,42.0,3.0
95,PIA,43.0,3.0
96,PIA,44.0,3.0
97,PIA,45.0,2.0
98,PIA,46.0,2.0
99,PIA,47.0,2.0
100,PIA,48.0,2.0
101,PIA,49.0,2.0
102,PIA,50.0,2.0
103,PIA,51.0,2.0
104,PIA,52.0,2.0
105,PIA,53.0,2.0
106,NOR,1.0,3.0
107,NOR,2.0,3.0
108,NOR,3.0,3.0
109,NOR,4.0,3.0
110,NOR,5.0,3.0
111,NOR,6.0,3.0
112,NOR,7.0,3.0
113,NOR,8.0,3.0
114,NOR,9.0,3.0
115,NOR,10.0,3.0
116,NOR,11.0,3.0
117,NOR,12.0,3.0
118,NOR,13.0,3.0
119,NOR,14.0,4.0
120,NOR,15.0,8.0
121,NOR,16.0,6.0
122,NOR,17.0,5.0
123,NOR,18.0,5.0
124,NOR,19.0,5.0
125,NOR,20.0,4.0
126,NOR,21.0,4.0
127,NOR,22.0,4.0
128,NOR,23.0,2.0
129,NOR,24.0,2.0
130,NOR,25.0,2.0
131,NOR,26.0,2.0
132,NOR,27.0,2.0
133,NOR,28.0,2.0
134,NOR,29.0,2.0
135,NOR,30.0,2.0
136,NOR,31.0,2.0
137,NOR,32.0,3.0
138,NOR,33.0,6.0
139,NOR,34.0,6.0
140,NOR,35.0,6.0
141,NOR,36.0,6.0
142,NOR,37.0,6.0
143,NOR,38.0,5.0
144,NOR,39.0,5.0
145,NOR,40.0,5.0
146,NOR,41.0,4.0
147,NOR,42.0,4.0
148,NOR,43.0,4.0
149,NOR,44.0,4.0
150,NOR,45.0,4.0
151,NOR,46.0,4.0
152,NOR,47.0,4.0
153,NOR,48.0,3.0
154,NOR,49.0,3.0
155,NOR,50.0,3.0
156,NOR,51.0,3.0
157,NOR,52.0,3.0
158,NOR,53.0,3.0
159,SAI,1.0,4.0
160,SAI,2.0,4.0
161,SAI,3.0,4.0
162,SAI,4.0,4.0
163,SAI,5.0,4.0
164,SAI,6.0,4.0
165,SAI,7.0,4.0
166,SAI,8.0,4.0
167,SAI,9.0,4.0
168,SAI,10.0,4.0
169,SAI,11.0,4.0
170,SAI,12.0,4.0
171,SAI,13.0,4.0
172,SAI,14.0,3.0
173,SAI,15.0,2.0
174,SAI,16.0,2.0
175,SAI,17.0,1.0
176,SAI,18.0,1.0
177,SAI,19.0,2.0
178,SAI,20.0,6.0
179,SAI,21.0,6.0
180,SAI,22.0,6.0
181,SAI,23.0,5.0
182,SAI,24.0,4.0
183,SAI,25.0,4.0
184,SAI,26.0,4.0
185,SAI,27.0,4.0
186,SAI,28.0,4.0
187,SAI,29.0,4.0
188,SAI,30.0,4.0
189,SAI,31.0,4.0
190,SAI,32.0,4.0
191,SAI,33.0,3.0
192,SAI,34.0,3.0
193,SAI,35.0,3.0
194,SAI,36.0,3.0
195,SAI,37.0,3.0
196,SAI,38.0,3.0
197,SAI,39.0,2.0
198,SAI,40.0,2.0
199,SAI,41.0,2.0
200,SAI,42.0,2.0
201,SAI,43.0,2.0
202,SAI,44.0,2.0
203,SAI,45.0,3.0
204,SAI,46.0,3.0
205,SAI,47.0,3.0
206,SAI,48.0,4.0
207,SAI,49.0,4.0
208,SAI,50.0,4.0
209,SAI,51.0,4.0
210,SAI,52.0,4.0
211,SAI,53.0,4.0
212,HAM,1.0,5.0
213,HAM,2.0,5.0
214,HAM,3.0,5.0
215,HAM,4.0,5.0
216,HAM,5.0,5.0
217,HAM,6.0,5.0
218,HAM,7.0,5.0
219,HAM,8.0,5.0
220,HAM,9.0,5.0
221,HAM,10.0,5.0
222,HAM,11.0,5.0
223,HAM,12.0,5.0
224,HAM,13.0,5.0
225,HAM,14.0,5.0
226,HAM,15.0,6.0
227,HAM,16.0,10.0
228,HAM,17.0,10.0
229,HAM,18.0,8.0
230,HAM,19.0,8.0
231,HAM,20.0,7.0
232,HAM,21.0,7.0
233,HAM,22.0,7.0
234,HAM,23.0,6.0
235,HAM,24.0,5.0
236,HAM,25.0,5.0
237,HAM,26.0,5.0
238,HAM,27.0,5.0
239,HAM,28.0,5.0
240,HAM,29.0,5.0
241,HAM,30.0,5.0
242,HAM,31.0,5.0
243,HAM,32.0,5.0
244,HAM,33.0,4.0
245,HAM,34.0,4.0
246,HAM,35.0,4.0
247,HAM,36.0,4.0
248,HAM,37.0,4.0
249,HAM,38.0,6.0
250,HAM,39.0,6.0
251,HAM,40.0,6.0
252,HAM,41.0,6.0
253,HAM,42.0,5.0
254,HAM,43.0,5.0
255,HAM,44.0,5.0
256,HAM,45.0,5.0
257,HAM,46.0,5.0
258,HAM,47.0,5.0
259,HAM,48.0,5.0
260,HAM,49.0,5.0
261,HAM,50.0,5.0
262,HAM,51.0,5.0
263,HAM,52.0,5.0
264,HAM,53.0,5.0
265,VER,1.0,6.0
266,VER,2.0,6.0
267,VER,3.0,6.0
268,VER,4.0,6.0
269,VER,5.0,6.0
270,VER,6.0,6.0
271,VER,7.0,6.0
272,VER,8.0,6.0
273,VER,9.0,6.0
274,VER,10.0,6.0
275,VER,11.0,6.0
276,VER,12.0,6.0
277,VER,13.0,6.0
278,VER,14.0,6.0
279,VER,15.0,4.0
280,VER,16.0,3.0
281,VER,17.0,2.0
282,VER,18.0,2.0
283,VER,19.0,1.0
284,VER,20.0,1.0
285,VER,21.0,1.0
286,VER,22.0,2.0
287,VER,23.0,8.0
288,VER,24.0,6.0
289,VER,25.0,6.0
290,VER,26.0,6.0
291,VER,27.0,6.0
292,VER,28.0,6.0
293,VER,29.0,6.0
294,VER,30.0,6.0
295,VER,31.0,6.0
296,VER,32.0,6.0
297,VER,33.0,5.0
298,VER,34.0,5.0
299,VER,35.0,5.0
300,VER,36.0,5.0
301,VER,37.0,5.0
302,VER,38.0,4.0
303,VER,39.0,4.0
304,VER,40.0,4.0
305,VER,41.0,5.0
306,VER,42.0,6.0
307,VER,43.0,6.0
308,VER,44.0,6.0
309,VER,45.0,6.0
310,VER,46.0,6.0
311,VER,47.0,6.0
312,VER,48.0,6.0
313,VER,49.0,6.0
314,VER,50.0,6.0
315,VER,51.0,6.0
316,VER,52.0,6.0
317,VER,53.0,6.0
318,RUS,1.0,7.0
319,RUS,2.0,7.0
320,RUS,3.0,7.0
321,RUS,4.0,7.0
322,RUS,5.0,7.0
323,RUS,6.0,7.0
324,RUS,7.0,7.0
325,RUS,8.0,7.0
326,RUS,9.0,7.0
327,RUS,10.0,7.0
328,RUS,11.0,8.0
329,RUS,12.0,16.0
330,RUS,13.0,16.0
331,RUS,14.0,15.0
332,RUS,15.0,14.0
333,RUS,16.0,13.0
334,RUS,17.0,12.0
335,RUS,18.0,11.0
336,RUS,19.0,11.0
337,RUS,20.0,10.0
338,RUS,21.0,9.0
339,RUS,22.0,9.0
340,RUS,23.0,9.0
341,RUS,24.0,9.0
342,RUS,25.0,8.0
343,RUS,26.0,8.0
344,RUS,27.0,8.0
345,RUS,28.0,8.0
346,RUS,29.0,8.0
347,RUS,30.0,8.0
348,RUS,31.0,8.0
349,RUS,32.0,8.0
350,RUS,33.0,8.0
351,RUS,34.0,12.0
352,RUS,35.0,11.0
353,RUS,36.0,10.0
